combination,feedback_text
ㅣ_ㅢ,"'ㅢ'를 발음할 때는 입술을 '으' 모양으로 유지하면서 혀를 '으'에서 '이'로 빠르게 움직여 보세요! 다시 한번 연습해 보세요!"
ㅔ_ㅣ,"'ㅣ'를 제대로 발음하려면 입을 옆으로 더 길게 벌리고 혀를 높게 올려 보세요!"
ㅔ_ㅐ,"'ㅐ'를 발음하려면 입을 두 손가락 더 벌리고 혀를 아랫니 뒤에 두어 보세요!"
ㅔ_ㅏ,"입을 세 손가락 만큼 더 벌리고 혀를 최대한 낮춰서 'ㅏ' 소리를 내보세요!"
ㅔ_ㅓ,"'ㅓ'를 발음하려면 'ㅔ'보다 입을 두 손가락 만큼 벌리고, 혀를 편안하게 유지해 보세요!"
ㅔ_ㅗ,"입술을 동그랗게 하고 다시 발음해 보세요!"
ㅔ_ㅜ,"'ㅜ'를 발음할 때는 입을 조금만 벌리고, 입술을 동그랗게 해보세요! 혀를 뒤로 올려 다시 시도해 보세요!"
ㅔ_ㅡ,"입을 약간만 벌리고 혀를 편안하게 유지하며 다시 발음해 보세요!"
ㅔ_ㅑ,"'ㅑ'를 발음할 때 '이' 소리를 작게 내고 '아'와 빠르게 이어서 말해 보세요!"
ㅔ_ㅕ,"'ㅕ'를 발음할 때 '이' 소리를 짧고 부드럽게 내고 '어'와 이어서 발음해 보세요!"
ㅔ_ㅛ,"'ㅛ'는 '이'와 '오'를 빠르게 이어서 발음해요! 'ㅔ'처럼만 열지 말고 두 소리를 연결해 보세요!"
ㅔ_ㅠ,"'ㅠ'는 '이'와 '우'를 빠르게 이어서 발음해 보세요!"
ㅔ_ㅒ,"'ㅒ'을 발음할 때는 'ㅔ'보다 입을 더 크게 열고 '이애'를 빠르게 이어서 발음해 보세요!"
ㅔ_ㅖ,"'ㅖ'는 '이'와 '에'를 빠르게 이어서 발음해 보세요!"
ㅔ_ㅘ,"'ㅘ'는 '우'와 '아'를 이어서 부드럽게 발음해 보세요!"
ㅔ_ㅝ,"'ㅝ'는 먼저 '우' 소리를 살짝 내고 '어'와 이어서 발음해 보세요! 지금은 'ㅔ'처럼 들려요!"
ㅔ_ㅙ,"'ㅙ'를 발음할 때 '우' 소리를 먼저 내고 '에'와 이어서 해보세요!"
ㅔ_ㅞ,"'ㅞ'는 '우'를 짧게 시작해 '에'와 이어서 발음해 보세요!"
ㅔ_ㅚ,"'ㅚ'는 '우'와 '에'를 자연스럽게 이어서 발음해 보세요! 'ㅔ'처럼만 발음하지 마세요!"
ㅔ_ㅟ,"'ㅟ'는 '우'와 '이' 소리를 자연스럽게 이어서 발음해 보세요!"
ㅔ_ㅢ,"'ㅢ'를 발음할 때 입술을 '으'로 유지하고 혀를 '이'로 빠르게 옮겨 보세요!"
ㅐ_ㅣ,"'ㅣ'를 발음할 때는 'ㅐ'와 달리 입을 옆으로 길게 벌리고 혀를 입천장 쪽으로 올려보세요!"
ㅐ_ㅔ,"입을 지금보다 덜 벌리고 혀를 좀 더 낮춰 발음해 보세요!"
ㅐ_ㅏ,"'ㅐ' 대신 'ㅏ'를 발음하려면 입을 새끼손가락 세 개만큼 벌리고 혀를 최대한 내려서 다시 해보세요!"
ㅐ_ㅓ,"'ㅓ'를 발음할 때는 혀를 아랫니 뒤에 두지 말고, 입술과 혀를 편안하게 해 보세요!"
ㅐ_ㅗ,"입을 조금 덜 벌리고 입술을 동그랗게 해보세요. 혀를 낮춰 다시 발음해 보세요!"
ㅐ_ㅜ,"입을 조금만 벌리고 입술을 동그랗게 해보세요. 혀를 아래로 내리면서 발음해 보세요!"
ㅐ_ㅡ,"입을 덜 벌리고, 입술과 혀를 편안하게 해 보세요!"
ㅐ_ㅑ,"'ㅑ'를 발음할 때 '이' 소리를 살짝 더해서 '아'와 자연스럽게 연결해 보세요!"
ㅐ_ㅕ,"'ㅕ'는 'ㅐ'보다 입을 덜 벌리고, '이'와 '어'를 빠르게 연결해서 발음해 보세요!"
ㅐ_ㅛ,"'ㅛ'는 '이'와 '오'를 부드럽게 이어서 발음해주세요. 입을 조금 더 좁게 하고 '이' 소리를 짧게 해보세요!"
ㅐ_ㅠ,"'ㅠ'는 'ㅐ'처럼 입을 많이 벌리지 말고, '이'와 '우'를 빠르고 자연스럽게 이어서 발음해보세요!"
ㅐ_ㅒ,"'ㅒ'를 발음할 때 'ㅐ'에 '이' 소리를 살짝 더해 빠르게 연결해 보세요!"
ㅐ_ㅖ,"'ㅖ'는 'ㅐ'에 '이' 소리를 빠르게 더해 발음해 보세요. 입을 조금 더 벌려주세요!"
ㅐ_ㅘ,"'ㅘ'는 '우'를 짧게 하고 '아'와 이어서 발음해 보세요!"
ㅐ_ㅝ,"'ㅐ'보다 '우' 소리를 먼저 추가해 'ㅝ'를 발음해 보세요!"
ㅐ_ㅙ,"'ㅙ'는 '우'와 '에'를 이어서 발음해요. 'ㅐ'보다 우를 살짝 넣어 다시 발음해 보세요!"
ㅐ_ㅞ,"'ㅞ'를 발음할 때는 '우' 소리를 짧게 내고 '에'와 이어서 말해 보세요!"
ㅐ_ㅚ,"'ㅚ'는 '우'와 '에'를 자연스럽게 이어서 발음해 보세요. 입을 'ㅐ'보다 조금 더 벌려주세요!"
ㅐ_ㅟ,"'ㅟ'는 '우'와 '이'를 빠르게 이어서 발음해 주세요. 'ㅐ'와 다르게 두 소리를 연결해 보세요!"
ㅐ_ㅢ,"'ㅢ'를 발음할 때는 입술을 '으' 모양으로 유지하고, 혀를 '으'에서 '이'로 빠르게 옮겨 보세요!"
ㅏ_ㅣ,"입을 옆으로 길게 벌리고 혀를 입천장 쪽으로 올려서 다시 발음해 보세요!"
ㅏ_ㅔ,"'ㅔ'를 발음할 때는 입을 덜 벌리고 혀를 조금 더 높여서 다시 발음해 보세요!"
ㅏ_ㅐ,"입을 조금 덜 벌리고 혀를 아랫니 뒤로 두고 다시 발음해 보세요!"
ㅏ_ㅓ,"입을 조금 덜 벌리고 혀를 약간 올려서 다시 발음해 보세요!"
ㅏ_ㅗ,"'ㅗ'를 발음하려면 입을 덜 벌리고, 입술을 동그랗게 해보세요. 혀 위치도 조절해 보세요!"
ㅏ_ㅜ,"'ㅜ'는 입을 덜 벌리고 입술을 동그랗게 만들어 보세요. 혀도 뒤로 올려주세요!"
ㅏ_ㅡ,"'ㅡ'는 'ㅏ'보다 입을 덜 벌리고 혀를 편안하게 유지해 보세요. 다시 한번 발음해 보세요!"
ㅏ_ㅑ,"'ㅑ'는 'ㅏ'에 '이' 소리를 빠르게 붙여 발음해 보세요!"
ㅏ_ㅕ,"'ㅏ'과 'ㅕ'는 입 모양이 달라요. 'ㅕ'를 발음할 때는 입을 덜 벌리고 혀를 약간 올려보세요!"
ㅏ_ㅛ,"'ㅛ'은 'ㅏ'보다 '이' 소리를 먼저 내고 빠르게 '오'로 이어서 말해 보세요!"
ㅏ_ㅠ,"'ㅠ'를 발음할 때는 '이우'를 빠르게 이어서 말해 보세요!"
ㅏ_ㅒ,"'ㅒ'는 '이'와 '애'를 빠르게 이어서 발음해 보세요. 더 부드럽게 연결해 주세요!"
ㅏ_ㅖ,"'ㅖ'는 '이'와 '에'를 이어서 발음해요. 먼저 '이' 소리를 내고 자연스럽게 '에'로 연결해 보세요!"
ㅏ_ㅘ,"'ㅘ'를 발음할 때 '우' 소리를 먼저 내고 '아'로 이어서 발음해 보세요!"
ㅏ_ㅝ,"'ㅝ'는 'ㅏ'보다 입을 덜 벌리고 '우'와 '어'를 이어서 발음해 보세요!"
ㅏ_ㅙ,"'ㅙ'는 '우에'를 이어서 발음해 보세요. 'ㅏ'보다 입을 더 넓게 벌리고 혀를 낮춰주세요!"
ㅏ_ㅞ,"'ㅞ'를 발음할 때 '우' 소리를 먼저 살짝 내고 '에'와 이어서 발음해 보세요!"
ㅏ_ㅚ,"'ㅚ'는 '우에'를 자연스럽게 이어서 발음해요. 지금처럼 입을 크게 벌리지 말고 '우'와 '에'를 연결해 다시 말해보세요!"
ㅏ_ㅟ,"'ㅟ'를 발음할 때 '우'와 '이'를 자연스럽게 이어서 말해 보세요!"
ㅏ_ㅢ,"입술을 '으' 모양으로 유지하고 혀를 올려서 'ㅢ'를 발음해 보세요!"
ㅓ_ㅣ,"'ㅓ' 대신 'ㅣ'를 발음하려면 입을 옆으로 길게 벌리고 혀를 입천장 쪽으로 올려보세요!"
ㅓ_ㅔ,"'ㅔ'는 'ㅓ'보다 입을 더 작게 벌려요. 입을 새끼손가락 하나만큼 열고 다시 발음해 보세요!"
ㅓ_ㅐ,"입을 두 손가락 정도 벌리고 혀를 아랫니 뒤에 놓고 발음해 보세요!"
ㅓ_ㅏ,"입을 새끼손가락 하나 더 벌리고 혀를 더 낮춰서 다시 발음해 보세요!"
ㅓ_ㅗ,"'ㅓ'처럼 입을 벌리고 계신데, 'ㅗ'는 입을 덜 벌리고 입술을 둥글게 해보세요!"
ㅓ_ㅜ,"입을 덜 벌리고 입술을 둥글게 만들어 보세요!"
ㅓ_ㅡ,"'ㅡ'는 'ㅓ'보다 입을 덜 벌려서 발음해 보세요!"
ㅓ_ㅕ,"'ㅕ'는 '이'와 'ㅓ'가 합쳐진 소리예요. 두 소리를 빠르게 이어서 발음해 보세요!"
ㅓ_ㅛ,"'ㅛ'는 '이오'를 부드럽게 연결해서 발음해 보세요!"
ㅓ_ㅠ,"'ㅠ'는 '이우'를 빠르게 이어서 발음해 보세요. 'ㅓ'보다 입을 덜 벌려주세요!"
ㅓ_ㅒ,"'ㅒ'를 발음할 때는 '이'와 '애'를 부드럽게 이어서 말해 보세요!"
ㅓ_ㅖ,"'ㅓ' 대신 'ㅖ'는 '이'와 '에'를 부드럽게 이어서 발음해 보세요!"
ㅓ_ㅘ,"'ㅘ'는 '우'와 '아'를 이어서 발음해 보세요. 입을 살짝 더 벌리고 부드럽게 연결해 주세요!"
ㅓ_ㅝ,"'ㅝ'를 발음할 때 '우' 소리를 짧게 내고 바로 '어'를 이어서 발음해 보세요!"
ㅓ_ㅙ,"'ㅙ'를 발음할 때는 '우'를 짧게 하고 '에'와 자연스럽게 이어서 말해 보세요!"
ㅓ_ㅞ,"'ㅓ' 대신 '우'와 '에'를 부드럽게 이어서 'ㅞ'를 발음해 보세요!"
ㅓ_ㅚ,"'ㅚ'는 '우'와 '에'를 자연스럽게 연결해 발음해 보세요. 'ㅓ'처럼만 발음하지 않도록 해주세요!"
ㅓ_ㅟ,"'ㅟ'는 '우'와 '이'를 이어서 발음해 보세요. 입을 조금 더 좁게하고 부드럽게 해보세요!"
ㅓ_ㅢ,"'ㅢ'는 입술을 '으' 모양으로 하고, 혀를 '이'로 움직여 보세요. 다시 한번 발음해 보세요!"
ㅓ_ㅑ,"'ㅑ'를 발음할 때는 '이' 소리를 먼저 내고 '아'로 빠르게 이어서 발음해 보세요. 'ㅓ'처럼만 말지 말고요!"
ㅗ_ㅣ,"'ㅣ'를 발음할 때는 입을 옆으로 길게 벌리고 혀를 높게 올려주세요. 'ㅗ'처럼 입을 동그랗게 하지 마세요!"
ㅗ_ㅔ,"입을 조금 더 벌리고 입술을 둥글게 하지 말고, 혀를 약간 낮춰서 다시 발음해 보세요!"
ㅗ_ㅐ,"'ㅐ'를 올바르게 발음하려면 입을 새끼손가락 두 개만큼 벌리고, 혀를 아랫니 뒤에 두어 보세요!"
ㅗ_ㅏ,"'ㅗ'보다 입을 더 크게 벌리고 혀를 낮춰 'ㅏ'를 발음해 보세요!"
ㅗ_ㅓ,"'ㅓ'를 발음할 때는 입을 더 넓게 벌리고, 입술과 혀를 편안하게 해보세요!"
ㅗ_ㅜ,"입을 조금 덜 벌리고, 입술을 앞으로 내밀어 다시 발음해 보세요!"
ㅗ_ㅡ,"'ㅡ'는 'ㅗ'보다 입을 덜 벌리고 입술과 혀를 편안하게 해보세요!"
ㅗ_ㅑ,"'ㅑ'를 발음할 때는 'ㅗ'처럼 입을 동그랗게 하지 말고, '이아'를 빠르게 이어서 말해 보세요!"
ㅗ_ㅕ,"'ㅗ'와 달리 'ㅕ'는 입을 더 벌리고 혀를 앞쪽으로 내려서 발음해 보세요!"
ㅗ_ㅛ,"'ㅛ'를 발음할 때 '이'와 '오'를 빠르게 연결해 보세요!"
ㅗ_ㅠ,"'ㅠ'를 'ㅗ'처럼 발음하지 말고, '이'와 '우'를 이어서 빠르게 말해 보세요!"
ㅗ_ㅒ,"'ㅒ'는 '이'와 '애'를 빠르게 이어서 발음해 보세요. 지금보다 두 소리를 연결해 주세요!"
ㅗ_ㅖ,"'ㅖ'는 '이'와 '에'를 빠르게 이어서 발음해 보세요. 입을 좀 덜 벌리고 자연스럽게 말해 주세요!"
ㅗ_ㅘ,"'ㅘ'를 발음할 때 'ㅗ'에 '아'를 이어서 말해 보세요. 입을 좀 더 열어주세요!"
ㅗ_ㅝ,"'ㅝ'는 '우'와 '어'를 이어서 발음해요. 'ㅗ'보다 두 소리를 자연스럽게 연결해 보세요!"
ㅗ_ㅙ,"'ㅙ'는 '우' 다음에 '에' 소리를 이어서 발음해 보세요. 입을 더 벌리고 자연스럽게 연결해 주세요!"
ㅗ_ㅞ,"'ㅞ'를 발음할 때 '우'와 '에'를 자연스럽게 이어서 말해 보세요!"
ㅗ_ㅚ,"'ㅚ'는 'ㅗ'에 '에'를 이어서 자연스럽게 발음해 보세요!"
ㅗ_ㅟ,"'ㅟ'를 발음할 때는 'ㅗ'에 '이' 소리를 붙여서 부드럽게 이어 말해 보세요!"
ㅗ_ㅢ,"'ㅗ'와 달리, 'ㅢ'는 입을 평평하게 유지하면서 혀를 '이' 쪽으로 움직여 보세요!"
ㅜ_ㅣ,"입을 옆으로 더 길게 벌리고, 혀를 입천장 쪽으로 올려서 다시 발음해 보세요!"
ㅜ_ㅔ,"'ㅜ' 대신 입을 새끼손가락 하나만큼 벌리고 혀를 낮춰 'ㅔ'를 발음해 보세요!"
ㅜ_ㅐ,"'ㅐ'를 발음할 때는 입을 더 크게 벌리고 혀를 아래로 내려보세요. 'ㅜ'와 다르게 발음해 보세요!"
ㅜ_ㅏ,"입을 더 크게 벌리고, 혀를 더 낮춰 'ㅏ'를 발음해 보세요!"
ㅜ_ㅓ,"'ㅓ'를 발음하려면 입을 더 크게 벌리고 입술을 편안하게 해보세요!"
ㅜ_ㅗ,"입을 새끼손가락만큼 더 벌리고 혀를 뒤로 올려 'ㅗ'를 발음해 보세요!"
ㅜ_ㅡ,"입을 편안하게 하고 입술을 오므리지 말고 'ㅡ'를 발음해 보세요!"
ㅜ_ㅑ,"'ㅑ'는 'ㅜ'보다 입을 더 벌리고 '이아'를 빠르게 이어서 발음해 보세요!"
ㅜ_ㅕ,"'ㅕ'는 'ㅜ'와 달리 입을 덜 벌리고 입술을 동그랗게 하지 않아요. '이'와 '어'를 빠르게 이어서 발음해 보세요!"
ㅜ_ㅛ,"'ㅛ'는 'ㅜ'에 '이' 소리를 더해 발음해 보세요. 입을 조금 더 벌리고 혀를 앞쪽으로 움직여 주세요!"
ㅜ_ㅠ,"'ㅠ'는 '이'와 '우' 소리를 빠르게 이어서 발음해 보세요. 'ㅜ'와 다르게 들릴 거예요!"
ㅜ_ㅒ,"'ㅒ'를 발음할 때 '이애'를 부드럽게 이어서 말해 보세요. 'ㅜ'와 입 모양이 달라요!"
ㅜ_ㅖ,"'ㅜ'는 입을 둥글게 하지만, 'ㅖ'는 입을 더 열고 '이에'를 이어서 발음해 보세요!"
ㅜ_ㅘ,"'ㅘ'는 'ㅜ'에 '아' 소리를 붙여 발음해 보세요!"
ㅜ_ㅝ,"'ㅝ'는 '우'와 '어'를 이어서 발음해 보세요. 입을 조금 더 벌리고 두 소리를 자연스럽게 연결해 보세요!"
ㅜ_ㅙ,"'ㅙ'는 '우'와 '에'를 이어서 발음해 보세요. 입을 조금 더 벌리고 두 소리를 연결해 주세요!"
ㅜ_ㅞ,"'ㅜ' 대신 'ㅞ'를 발음하려면 '우' 다음에 '에'를 이어서 말해 보세요!"
ㅜ_ㅚ,"'ㅚ'는 'ㅜ'에 '에'를 이어서 발음해 보세요. 입을 조금 더 벌리고 두 소리를 부드럽게 연결해 보세요!"
ㅜ_ㅟ,"'ㅜ'와 달리 'ㅟ'는 '우'를 짧게 하고 바로 '이'로 이어서 발음해 보세요!"
ㅜ_ㅢ,"'ㅢ'를 발음할 때는 입술을 '으' 모양으로 유지하고, 혀를 '이' 쪽으로 빠르게 움직여 보세요!"
ㅡ_ㅣ,"입을 옆으로 더 길게 벌리고, 혀를 입천장 가까이 올려서 'ㅣ'로 발음해 보세요!"
ㅡ_ㅔ,"'ㅔ'를 내기 위해 입을 더 벌리고 혀를 낮춰보세요!"
ㅡ_ㅐ,"'ㅐ'를 발음할 때는 입을 더 벌리고 혀를 아랫니 뒤로 옮겨 보세요!"
ㅡ_ㅏ,"'ㅏ'를 발음하려면 'ㅡ'보다 입을 더 벌리고 혀를 낮춰야 해요. 다시 한 번 발음해 보세요!"
ㅡ_ㅓ,"'ㅡ'보다 입을 조금 더 벌려 'ㅓ' 소리를 내보세요!"
ㅡ_ㅗ,"'ㅡ' 대신 'ㅗ'를 발음하려면 입을 새끼손가락만큼 더 벌리고, 입술을 동그랗게 만들어 보세요!"
ㅡ_ㅜ,"'ㅡ'와 다르게 'ㅜ'는 입술을 동그랗게 하고 앞으로 내밀어 발음해 보세요!"
ㅡ_ㅑ,"'ㅑ'를 발음할 때는 '이'와 '아'를 빠르게 이어서 말해보세요. 그냥 'ㅡ'처럼 발음하지 말고, 입을 더 열어보세요!"
ㅡ_ㅕ,"'ㅕ'는 '이'와 '어'를 이어서 발음해요. 'ㅡ'처럼만 하지 말고 두 소리를 연결해서 발음해 보세요!"
ㅡ_ㅛ,"'ㅛ'를 발음할 때는 'ㅡ'보다 입을 더 벌리고 '이오'를 빠르게 이어서 말해 보세요!"
ㅡ_ㅠ,"'ㅠ'를 발음할 때는 'ㅡ'와 달리 '이우'를 빠르게 이어서 말해 보세요. '이'는 짧고 약하게, '우'에 붙여 주세요!"
ㅡ_ㅒ,"'ㅒ'를 발음할 때는 'ㅡ'보다 입을 더 열고 '이'와 '애' 소리를 빠르게 이어서 발음해 보세요!"
ㅡ_ㅖ,"'ㅖ'는 '이'와 '에'를 빠르게 이어서 발음해 보세요. 입을 조금 더 열어주세요!"
ㅡ_ㅘ,"'ㅘ'는 '우'와 '아'를 부드럽게 이어서 발음해 보세요!"
ㅡ_ㅝ,"'ㅝ'는 '우'와 '어'를 이어서 발음해 보세요. 입을 조금 더 벌리고 두 소리를 자연스럽게 연결해 주세요!"
ㅡ_ㅙ,"'ㅙ'는 'ㅡ' 대신 '우'와 '에'를 연결해 발음해 보세요!"
ㅡ_ㅞ,"'ㅞ'는 '우에'를 자연스럽게 이어서 발음해 주세요. 입을 조금 더 벌리고 다시 시도해 보세요!"
ㅡ_ㅚ,"'ㅚ'는 '우에'를 자연스럽게 이어서 발음해 보세요. 입을 조금 더 벌리고 부드럽게 해주세요!"
ㅡ_ㅟ,"'ㅟ'를 발음할 때는 '우'에서 '이'로 자연스럽게 이어서 발음해 보세요!"
ㅡ_ㅢ,"'ㅢ'를 발음할 때, 'ㅡ' 소리에서 '이' 소리로 빠르게 전환해 보세요. 입은 편안하게 유지하세요!"
ㅑ_ㅣ,"입을 옆으로 길게 벌리고 혀를 입천장에 올려서 'ㅣ'를 발음해 보세요!"
ㅑ_ㅔ,"입을 살짝 벌리고 혀를 낮춰서 'ㅔ'를 다시 발음해 보세요!"
ㅑ_ㅐ,"'ㅐ'를 발음할 때는 입을 두 손가락만큼 벌리고 혀를 아랫니 뒤에 두세요. 'ㅑ'처럼 연이어서 발음하지 않도록 해보세요!"
ㅑ_ㅏ,"'ㅑ'는 '이아'를 빠르게 발음해요. 'ㅏ'는 입을 더 벌리고 혀를 낮게 위치시켜 다시 발음해 보세요!"
ㅑ_ㅓ,"'ㅓ'를 발음할 때는 입을 더 크게 벌리고 'ㅑ'처럼 들리지 않게 해보세요!"
ㅑ_ㅗ,"'ㅗ'를 발음하려면 입을 조금 좁게 벌리고 입술을 둥글게 해보세요!"
ㅑ_ㅜ,"'ㅑ' 대신 'ㅜ'를 발음하려면 입을 조금만 벌리고 입술을 동그랗게 해보세요!"
ㅑ_ㅡ,"입을 조금만 벌리고, 혀와 입술을 편하게 해보세요!"
ㅑ_ㅕ,"'ㅕ'는 '이어'처럼 발음해 보세요. 'ㅑ'와 달리 '어' 소리를 포함해야 해요. 입을 조금 더 벌리고 시도해 보세요!"
ㅑ_ㅛ,"'ㅛ'를 발음할 때는 '이오'처럼 말해보세요. 'ㅑ'보다 '오' 소리를 더 넣어주세요!"
ㅑ_ㅠ,"'ㅠ'는 '이우'처럼 발음해 보세요. 입을 더 둥글게 해 주세요!"
ㅑ_ㅒ,"'ㅒ'는 '이애'처럼 발음해야 해요. 입을 더 벌리고 '애' 소리를 정확히 내보세요!"
ㅑ_ㅖ,"'ㅖ'는 '이에'처럼 '에' 소리로 끝나요. 'ㅑ' 대신 '에'를 사용해서 다시 발음해 보세요!"
ㅑ_ㅘ,"'ㅘ'는 '우아'처럼 발음해 보세요. 입을 더 둥글게 해주세요!"
ㅑ_ㅝ,"'ㅝ'를 발음할 때는 '우어'처럼 시작해 보세요. 입을 더 둥글게 하고 '우' 소리를 먼저 내주세요!"
ㅑ_ㅙ,"'ㅙ'는 '우에'처럼 발음해 보세요. 입을 더 둥글게 하고 혀를 낮춰주세요!"
ㅑ_ㅞ,"'ㅞ'는 '우에'를 연결해서 발음해 주세요. 지금보다 입을 조금 더 벌리고 다시 시도해 보세요!"
ㅑ_ㅚ,"'ㅚ'는 '우에'처럼 발음해요. 'ㅑ'보다 '우' 소리를 먼저 내고, 자연스럽게 '에'로 이어서 발음해 보세요!"
ㅑ_ㅟ,"'ㅟ'를 발음할 때는 '우' 소리를 짧게 하고 '이' 소리를 이어서 발음해 보세요!"
ㅑ_ㅢ,"'ㅢ'를 발음할 때는 입술을 '으' 모양으로 유지하고, 혀를 빠르게 '으'에서 '이'로 움직여 보세요!"
ㅕ_ㅣ,"'ㅣ'는 입을 옆으로 더 벌리고 혀를 높이 올려 발음해 보세요!"
ㅕ_ㅔ,"'ㅔ'는 'ㅕ'보다 입을 더 벌리고 혀를 낮게 위치시켜 발음해 보세요!"
ㅕ_ㅐ,"입을 새끼손가락 두 개만큼 벌리고 혀를 아랫니 뒤에 두고 다시 발음해 보세요!"
ㅕ_ㅏ,"입을 더 크게 벌리고 혀를 낮혀 'ㅏ'를 다시 발음해 보세요!"
ㅕ_ㅓ,"'ㅓ'를 발음할 때는 입을 더 벌리고 'ㅕ'처럼 앞소리를 넣지 말아 보세요!"
ㅕ_ㅗ,"'ㅗ'는 입을 동그랗게 하고 혀를 내려 발음해 보세요. 'ㅕ'와는 다른 입 모양이에요!"
ㅕ_ㅜ,"'ㅜ'는 입을 동그랗게 하고 앞으로 내밀어야 해요. 'ㅕ'와 다르게 발음해 보세요!"
ㅕ_ㅡ,"'ㅕ'는 '이' 소리가 들어갑니다. 'ㅡ'를 발음할 때는 입을 조금만 벌리고 혀를 편안하게 유지해 보세요!"
ㅕ_ㅑ,"'ㅑ'는 '이아'처럼 연이어 발음해 보세요. 'ㅕ'와 달리 '아' 소리를 분명히 해 주세요!"
ㅕ_ㅛ,"'ㅛ'를 발음할 때 입을 더 둥글게 하고 '오' 소리에 집중해 보세요!"
ㅕ_ㅠ,"'ㅠ'를 발음할 때는 '이우'를 빠르게 이어서 발음해 보세요. 'ㅕ'와 다르게 끝을 '우'로 해주세요!"
ㅕ_ㅒ,"'ㅒ'는 '애' 소리를 사용해요. 입을 더 열고 발음해 보세요!"
ㅕ_ㅖ,"'ㅕ'는 '이어'처럼, 'ㅖ'는 '이에'처럼 발음해 주세요. 입을 더 벌리고 혀를 낮추어 연습해 보세요!"
ㅕ_ㅘ,"'ㅘ'는 '우'와 '아'를 이어서 발음해 보세요. 입을 조금 더 동그랗게 열어주세요!"
ㅕ_ㅝ,"'ㅝ'는 'ㅕ'보다 입을 더 동그랗게 하고 '우어'로 발음해 보세요!"
ㅕ_ㅙ,"'ㅙ'는 '우'와 '에'를 이어서 발음해요. 지금은 'ㅕ'처럼 발음하셨는데, 입을 더 벌리고 '우' 소리를 추가해 보세요!"
ㅕ_ㅞ,"'ㅞ'를 발음할 때는 먼저 '우' 소리를 짧게 내고 바로 '에'로 이어서 발음해 보세요!"
ㅕ_ㅚ,"'ㅚ'는 '우에'를 이어서 발음해요. 'ㅕ'와 달리 '우' 소리를 먼저 내고 입을 더 벌려 보세요!"
ㅕ_ㅟ,"'ㅟ'는 '우' 소리를 짧게 하고 '이'와 자연스럽게 이어서 발음해 보세요!"
ㅕ_ㅢ,"'ㅢ'를 발음할 때는 입술을 '으' 모양으로 유지하고, 혀를 '으'에서 '이'로 빠르게 옮겨 보세요!"
ㅛ_ㅣ,"'ㅣ'를 발음할 때는 입을 옆으로 길게 벌리고 혀를 높이 올려보세요. 'ㅛ'처럼 두 소리를 이어 발음하지 않도록 해보세요!"
ㅛ_ㅔ,"'ㅔ'를 발음할 때는 'ㅛ'처럼 이어서 말하지 말고, 입을 조금만 벌리고 혀를 낮춰보세요!"
